feature,oracle_mean_percentile,distance_from_median,months
ma_gap_60,0.13753769790735934,-0.36246230209264063,214
drawdown_60,0.1565515572204124,-0.34344844277958764,214
ma_gap_20,0.17927705187430587,-0.32072294812569413,216
bollinger_z_20,0.18381780785956986,-0.31618219214043014,216
rsi_14,0.23029291888225906,-0.26970708111774094,216
ret_5,0.24734341819832545,-0.25265658180167455,217
ret_20,0.25059089267231904,-0.24940910732768096,216
ret_60,0.2545959136139636,-0.2454040863860364,214
ret_1,0.3298965775671213,-0.17010342243287868,217
volume_z_20,0.6380793469180197,0.1380793469180197,216
volatility_20,0.5916153172970487,0.09161531729704875,216
trading_day,0.4137024132616199,-0.08629758673838012,217
month_progress,0.4137024132616199,-0.08629758673838012,217
weekday_cos,0.5149505199584816,0.014950519958481623,217
weekday_sin,0.4988205883828531,-0.0011794116171469082,217
