date,open,high,low,close,adj_close,volume,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,adjusted_close,total_return_index,cash_dividend,split_ratio,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,gross_return,trading_value,nav,issuer_market_price,official_close,official_close_source,close_difference,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,institutional_available,outstanding_units,distribution_yield_ttm,feature_available_date,ret_1,ret_5,ret_20,ret_60,ma_gap_20,ma_gap_60,rsi_14,bollinger_z_20,drawdown_60,volatility_20,volume_z_20,premium_discount,dividend_yield_ttm,margin_change_5,short_change_5,institutional_net_ratio,institutional_data_available,fund_flow_5,trading_day,month_progress,weekday_sin,weekday_cos,month,days_in_month,oracle_adjusted_open,oracle_date,regret,is_oracle,near_optimal,remaining_min_adjusted_open,previous_adjusted_close,remaining_min_log_ratio,tsm_lead_ret,sox_lead_ret,usd_twd_up,usd_twd_up_streak3,tsm_dump,sox_dump,tsm_dump_1pct,tsm_not_dump,fx_not_depreciating,fx_not_up,near_probability,predicted_remaining_log_ratio,reservation_adjusted,reservation_raw,training_through,feature_set,analysis_signature,forced,strategy
2014-05-30,61.46,61.46,61.23,61.34,47.06,317600,0.7671992174763612,47.15206390609716,47.15206390609716,46.97560808607759,47.06,138.94301741954533,0.0,1.0,61.46,61.46,61.23,61.34,0.9978795589482614,19481584.0,61.34,61.34,61.34,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0227465940560583,2014-06-02,0.006187326648176,0.0172562553925799,0.0227716330513987,0.0319474835886215,0.0161822060376219,0.029874213836478,68.49816849816824,2.4252445776172853,0.0,0.0673681697170544,1.4423953797257945,0.0,0.0226984883585264,,,0.0,0.0,0.0,21,0.967741935483871,-0.9510565162951536,0.3090169943749472,2014-05,21,46.03053435114504,2014-05-05,0.0243649040959748,False,False,47.15206390609716,47.16,-0.0001682943537206,-0.007920792079208,0.0021751497506945,0.0,0.0,True,False,False,False,True,True,0.2080771517781031,-0.0020722379658384,47.29768631637853,61.64981042598085,2014-04,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2014-06-30,62.16,62.3,62.09,62.23,48.1,1468100,0.7729390968986021,48.0458942632171,48.15410573678291,47.991788526434206,48.1,142.01358134041925,0.0,1.0,62.16,62.3,62.09,62.23,1.001040582726327,91359863.0,62.23,62.23,62.23,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0226551529591934,2014-07-01,0.0033409897682186,-0.0014546965918538,0.0210369740756479,0.0404937202252055,0.00659893160155,0.0305814223667981,54.8780487804876,1.133012895996336,-0.0014546965918538,0.0503220055107794,-0.3817582717277594,0.0,0.0226770173500178,,,0.0,0.0,0.0,21,1.0,0.0,1.0,2014-06,21,47.10492282696994,2014-06-04,0.019976074256689,False,False,48.0458942632171,48.05,-8.545082632038789e-05,0.0124426981008514,0.0015757305659898,0.0,0.0,False,False,False,True,True,True,0.3178881128812573,6.671698486653485e-05,48.29347188735456,62.4803067681928,2014-05,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2014-07-10,61.74,62.12,61.55,62.04,47.95,314900,0.7728884590586719,47.7181334622824,48.0118310767247,47.57128465506125,47.95,141.57071154413936,0.0,1.0,61.74,62.12,61.55,62.04,0.99337062357572,19536396.0,62.04,62.04,62.04,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0227245352780562,2014-07-11,0.004160599126274,-0.004947433518862,0.0087774294670848,0.0757744595498104,0.0049654913962711,0.028005537216484,56.65236051502154,0.7147553448200553,-0.0100492206726824,0.0642664275562702,-0.2948467569620842,0.0,0.022575342972788,,,0.0,0.0,0.0,7,0.3225806451612903,-0.587785252292473,-0.8090169943749475,2014-07,22,47.7181334622824,2014-07-10,0.0,True,True,47.7181334622824,48.27,-0.0114987675772791,-0.0067114093959731,0.0060998381675587,0.0,0.0,True,False,False,False,True,True,0.5030459583926362,-0.0057652796260703,48.23247317609968,62.40547728561467,2014-06,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2014-08-29,62.64,62.78,62.51,62.76,48.51,202500,0.7729445506692161,48.4172466539197,48.525458891013386,48.31676386233269,48.51,143.22409211691763,0.0,1.0,62.64,62.78,62.51,62.76,1.0024798512089277,12708900.0,62.76,62.76,62.76,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0224638331524953,2014-09-02,-0.003295571575695,0.0031094527363184,0.0241269841269842,0.0247776365946632,0.0155299055613851,0.0099379789413633,86.2068965517243,1.190363070465889,-0.0075881870385561,0.0732698770982837,-0.5163976736716228,0.0,0.0225176516315382,,,0.0,0.0,0.0,21,0.935483870967742,-0.9510565162951536,0.3090169943749472,2014-08,21,46.52584417723604,2014-08-08,0.0406527277501624,False,False,48.4172466539197,48.39,0.0005629052696138,0.0,0.0030067181358346,0.0,0.0,False,False,False,True,True,True,0.2578246885640915,-0.0024860587899672,48.51119827336699,62.76155027080009,2014-07,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2014-09-16,61.7,62.36,61.62,62.27,48.13,382700,0.7729243616508752,47.689433113859,48.199563192548574,47.62759916492693,48.13,142.10215529967525,0.0,1.0,61.7,62.36,61.62,62.27,1.0066931604266889,23830729.0,62.27,62.27,62.27,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0226406001068028,2014-09-17,-0.0020872469213107,-0.0109640049648325,0.0050451965524489,-0.0049947970863682,-0.0101244332180792,-0.0043282530448758,34.67336683417064,-2.00152817366938,-0.0194831829368334,0.0568876913075796,-0.5605001558569741,0.0,0.0227906590470515,,,0.0,0.0,0.0,11,0.5333333333333333,0.9510565162951536,0.3090169943749474,2014-09,21,46.773619976848025,2014-09-29,0.0195796933712697,False,False,46.773619976848025,47.81,-0.0219154543476628,-0.0052945069490403,-0.0119551797965274,1.0,1.0,True,True,False,False,False,False,0.685729946166893,-0.0072957628260129,47.69977120409974,61.71337529356516,2014-08,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2014-10-15,56.77,57.12,55.77,56.96,44.23,1341800,0.7765098314606741,44.08246313202247,44.3542415730337,43.3059533005618,44.23,130.587540596398,0.0,1.0,56.77,57.12,55.77,56.96,0.9932629687850886,76428928.0,56.96,56.96,56.96,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.02565829240296,2014-10-16,0.0013492241960872,-0.027304499781564,-0.0747974236442966,-0.0744128039908541,-0.0436920830246218,-0.0623091663332561,23.627287853577517,-1.838370862351264,-0.0852506162695151,0.1484107889070064,0.481757392898934,0.0,0.0254882513999407,,,0.0,0.0,0.0,11,0.4838709677419355,0.5877852522924732,-0.8090169943749473,2014-10,23,43.44224292494287,2014-10-16,0.0147372733075898,False,False,43.44224292494287,44.53,-0.0247308123303823,0.023956194387406,0.0185633428576628,1.0,0.0,False,False,False,True,True,False,0.7501707037287899,-0.011992159273556,44.21917424970012,56.94605845043905,2014-09,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2014-11-28,61.89,61.95,61.67,61.72,47.93,221200,0.7765716137394686,48.06201717433572,48.10861147116008,47.89117141931303,47.93,141.51166223796872,0.0,1.0,61.89,61.95,61.67,61.72,0.9943983402489626,13652464.0,61.72,61.72,61.72,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0236794610381173,2014-12-01,0.0024958402662229,0.0128178188695102,0.0374515712440808,-0.0098603122432211,0.0161594653567627,0.0276236026522069,80.92485549132955,2.038226858808831,-0.009046052631579,0.0643321881244811,-0.6677230397444823,0.0,0.0235459374137684,,,0.0,0.0,0.0,19,0.9333333333333332,-0.9510565162951536,0.3090169943749472,2014-11,19,47.04435960998182,2014-11-04,0.0216318719776553,False,False,48.06201717433572,48.2,-0.0028668196287045,0.0117577895355671,0.0210947771005138,0.0,0.0,False,False,False,True,True,True,0.2162554141644999,-0.0032407236416156,48.28427020222544,62.1761977233748,2014-10,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
2014-12-09,60.73,61.03,60.37,60.94,47.32,434200,0.7765014768624877,47.15693468985888,47.38988513291763,46.87739415818838,47.32,139.71065839976382,0.0,1.0,60.73,61.03,60.37,60.94,0.9968401095428692,26460148.0,60.94,60.94,60.94,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0239825457051625,2014-12-10,-0.0083559640693544,-0.0021021652301871,0.0065733672603902,-0.0091838864537674,-0.0041850659226549,0.0133562935395954,52.61194029850742,-0.7104876116760885,-0.0151452282157675,0.0669997604097318,2.455065765892534,0.0,0.0239080048302405,,,0.0,0.0,0.0,7,0.2903225806451613,0.9510565162951536,0.3090169943749474,2014-12,22,45.23010457740442,2014-12-16,0.0426006114833756,False,False,45.23010457740442,47.47,-0.0483350369513541,-0.0106571936056838,-0.0143929912390488,1.0,1.0,True,True,True,False,False,False,0.6772958246877617,-0.0115888721175685,47.15766687743436,60.73094293133664,2014-11,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2015-01-14,58.75,58.96,58.33,58.91,46.03,358200,0.7813613987438466,45.90498217620099,46.0690680699372,45.57681038872857,46.03,135.90197815175674,0.0,1.0,58.75,58.96,58.33,58.91,0.9954584775086504,21101562.0,58.91,58.91,58.91,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0247714796782866,2015-01-15,0.0006492101276778,0.016487140030776,0.0080662742533244,0.0466274332277045,-0.0087038545641642,-0.0142196260686039,36.99551569506725,-0.5442613530018097,-0.0406639004149378,0.1545840470691156,0.0512721127102886,0.0,0.0246584634648169,,,0.0,0.0,0.0,9,0.4516129032258064,0.5877852522924732,-0.8090169943749473,2015-01,20,45.81701716016151,2015-01-16,0.0019199201845021,False,True,45.81701716016151,46.24,-0.0091896485376545,0.0123056994818653,-0.009288202197017,0.0,0.0,False,True,False,True,True,True,0.5250989426377164,-0.0105214608590737,45.98481829805467,58.85217566670433,2014-12,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,False,technical_calendar
2015-02-27,62.78,62.89,62.63,62.66,48.96,550500,0.7813597191190553,49.053763166294296,49.13971273539739,48.93655920842644,48.96,144.5527015057573,0.0,1.0,62.78,62.89,62.63,62.66,0.9993876301285975,34494330.0,62.66,62.66,62.66,FinMind USStockPrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0232889860811979,2015-03-02,-0.0016303240269002,0.0071957236842106,0.0537750053775007,0.0221155852284582,0.0204230412730814,0.0374877787935157,68.64686468646883,1.1607617189859891,-0.0016303240269002,0.1210601221822594,-0.6515975226563813,0.0,0.0232778412481714,,,0.0,0.0,0.0,19,0.9642857142857144,-0.9510565162951536,0.3090169943749472,2015-02,19,46.50962122476223,2015-02-02,0.0547014117624664,False,False,49.053763166294296,48.99,0.0013007084433492,-0.0145161290322581,0.0065731260270509,0.0,0.0,True,False,True,False,True,True,0.2650642436345223,-0.002674245123265,49.10345957224964,62.84360246726229,2015-01,technical_calendar,ba5fee639dad4dc54839faefdc40c3d8ff99f8d74856e0890ae3c45c887d153a,True,technical_calendar
