date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source,ret_1,ret_5,ret_20,ret_60,ma_gap_20,ma_gap_60,rsi_14,bollinger_z_20,drawdown_60,volatility_20,volume_z_20,premium_discount,dividend_yield_ttm,margin_change_5,short_change_5,institutional_net_ratio,institutional_data_available,fund_flow_5,trading_day,month_progress,weekday_sin,weekday_cos,month,days_in_month,oracle_adjusted_open,oracle_date,regret,is_oracle,near_optimal,remaining_min_adjusted_open,previous_adjusted_close,remaining_min_log_ratio,near_probability,predicted_remaining_log_ratio,reservation_adjusted,reservation_raw,training_through,feature_set,analysis_signature,forced,strategy
2008-07-31,53.15,53.3,51.7,52.4,18531086,974407709,-0.15,3187,0.0,1.0,0.9971455756422456,163.88950846785582,7.304761948557657,0.1394038539801079,7.409314839042738,7.430225417139754,7.207179250771582,13.2875,13.325,12.925,13.1,52.38,52.4,58713315143.0,1121000000.0,32110,2981,0.0,0.0,0.0,0.0,52.4,0.0,False,0.0477099236641221,2008-08-01,YUANTA_ETF_NAV_HISTORY,0.0115495668912415,-0.006616257088847,-0.0428051001821494,-0.166534496431404,-0.0001902587519027,-0.0958102721459093,53.16091954022985,-0.0070930013659516,-0.1995430312261996,0.4236919578977922,-0.6620706266198735,0.000380734818199,0.0475737392959086,-0.0950354609929078,0.0864393338620141,0.0,0.0,0.0409492787342951,22,1.0,-0.587785252292473,-0.8090169943749475,2008-07,22,6.99807346980142,2008-07-16,0.0587649402390437,False,False,7.409314839042738,7.325672526654673,0.0113530074649967,0.2476798823505882,-0.000631351350215,7.357654157695287,52.77941712246478,2008-06,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,True,technical_calendar
2008-08-19,51.85,53.15,51.85,52.9,13420230,705158902,-0.45,3141,0.0,1.0,0.9915651358950328,165.45333965552612,7.3744638755477085,0.1394038539801079,7.228089828868595,7.409314839042735,7.228089828868595,12.9625,13.2875,12.9625,13.225,52.87,52.9,60696077915.0,1148000000.0,30965,3884,0.0,0.0,0.0,0.0,52.9,0.0,False,0.0472589792060491,2008-08-20,YUANTA_ETF_NAV_HISTORY,-0.0193014705882352,-0.0404676258992806,0.0460784313725486,-0.1457165732586071,-0.0062401043121916,-0.046782406718085,57.21649484536074,-0.262834038098646,-0.1491228070175438,0.3456509582638502,-0.7620070273646327,0.0035741158765989,0.0468603561387066,-0.0114305728022415,-0.0570814425603056,0.0,0.0,-0.0047680970957953,13,0.6129032258064516,0.9510565162951536,0.3090169943749474,2008-08,21,7.207179250771582,2008-08-01,0.0029013539651832,False,True,7.228089828868595,7.437195609838757,-0.028519043072226,0.616072786581975,-0.0195779622410027,7.329471577339557,52.57725212091646,2008-07,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,False,technical_calendar
2008-09-15,47.7,48.05,46.4,46.55,25834765,1218699985,-2.32,7176,0.0,1.0,0.9525271127481072,145.59268357211235,6.489249402774025,0.1394038539801079,6.649563834851151,6.698355183744187,6.4683388246770095,11.925,12.0125,11.6,11.6375,46.81,46.55,52874608642.0,1129500000.0,43665,4097,0.0,0.0,0.0,0.0,46.55,0.0,False,0.0537056928034371,2008-09-16,YUANTA_ETF_NAV_HISTORY,0.0103369857349595,0.0059695347879786,-0.1016544117647055,-0.1639007698887939,-0.0525581124832785,-0.0780173064345727,33.56024506466984,-1.3866492499308416,-0.1500869565217389,0.3787571048138708,0.3537221567382106,0.0039030402629416,0.0511561285041948,0.0967904242360044,-0.020447637468914,0.0,0.0,0.0363218390804598,11,0.5,0.0,1.0,2008-09,21,6.041763031497879,2008-09-30,0.1005999077065069,False,False,6.041763031497879,6.8126663440078765,-0.1200877151738504,0.5879198867120701,-0.0254306151237411,6.674808425318302,47.88108961658088,2008-08,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,False,technical_calendar
2008-10-13,39.0,39.1,38.84,38.84,19726712,766877302,-1.4,4438,0.0,1.0,0.9652087475149106,121.47840665823512,5.414445688587394,0.1394038539801079,5.43675030522421,5.450690690622221,5.414445688587394,9.75,9.775,9.71,9.71,39.11,38.84,42512132534.0,1087000000.0,41443,3578,0.0,0.0,0.0,0.0,38.84,0.0,False,0.064366632337796,2008-10-14,YUANTA_ETF_NAV_HISTORY,0.0012440905697939,-0.0967452300785632,-0.1929402326514238,-0.1935871743486972,-0.1179210644570848,-0.2004821479425924,36.4675984752224,-2.0841877322852973,-0.2782062780269054,0.4871200910028906,-0.1458776979100358,0.0095333667837431,0.0621272365805168,0.0724048466044346,-0.210571736785329,0.0,0.0,-0.0462147887323943,8,0.4193548387096774,0.0,1.0,2008-10,22,4.440749856843141,2008-10-28,0.2242865463016894,False,False,4.440749856843141,5.609611084159545,-0.2336581428089602,0.8210613875860008,-0.0336129078444268,5.451310428321557,39.10444562816338,2008-09,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,False,technical_calendar
2008-11-20,30.0,30.11,29.4,29.5,21771526,647673170,-1.46,6838,0.0,1.0,0.952842377260982,97.97204131389763,4.36673735922909,0.1480249952281047,4.440749856843142,4.457032606318233,4.351934859706279,7.5,7.5275,7.35,7.375,29.24,29.5,33362150337.0,1141000000.0,37678,2400,0.0,0.0,0.0,0.0,29.5,0.0,False,0.0677966101694915,2008-11-21,YUANTA_ETF_NAV_HISTORY,0.0019417475728153,-0.0747160789001795,-0.1064241160152316,-0.3878089986629494,-0.0739160069452573,-0.2263334531354485,32.49496981891345,-1.237951828772863,-0.3923353646617444,0.6179374287049658,-0.61048485458301,0.0055212731406302,0.0645994832041343,0.048910051745018,0.0344827586206897,0.0,0.0,0.01985559566787,14,0.6666666666666666,-0.587785252292473,-0.8090169943749475,2008-11,20,4.307527361137847,2008-11-21,0.0309278350515465,False,False,4.307527361137847,4.582853852262122,-0.0619578745440796,0.5303829917748224,-0.0311906467157497,4.464328498367202,30.159288243770767,2008-10,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,False,technical_calendar
2008-12-31,33.3,33.33,32.7,32.87,11538329,381048172,-0.29,3362,0.0,1.0,0.991254523522316,109.16410162670552,4.865581593147799,0.1480249952281046,4.929232341095884,4.933673090952728,4.840417343959022,8.325,8.3325,8.175,8.2175,33.1,32.87,39302824998.0,1187500000.0,33974,8494,0.0,0.0,0.0,0.0,32.87,0.0,False,0.0608457560085184,2009-01-05,YUANTA_ETF_NAV_HISTORY,0.042767295597484,0.0444094488188973,0.0836601307189537,-0.1753931804784938,0.0228254164096235,-0.0083143636168186,43.21475625823444,0.6039417939342114,-0.1801929873441603,0.4665582709745339,-0.2716405941151253,0.0006035003017499,0.060313630880579,-0.0318901370413997,0.0229992959399201,0.0,0.0,0.0042301184433164,23,1.0,0.5877852522924732,-0.8090169943749473,2008-12,23,4.45259185646139,2008-12-05,0.1070478723404249,False,False,4.929232341095884,4.90850884176395,0.0042130667193035,0.1173188545805166,-0.001032802197148,4.927959149751721,33.29139880840935,2008-11,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,True,technical_calendar
2009-01-20,30.63,30.89,30.53,30.7,27865305,854151168,-0.83,5266,0.0,1.0,0.9736758642562638,101.95734468937816,4.544367353502812,0.1480249952281046,4.534005603836845,4.5724921025961525,4.519203104314035,7.6575,7.7225,7.6325,7.675,30.43,30.7,37518985235.0,1233000000.0,28786,13163,0.0,0.0,0.0,0.0,30.7,0.0,False,0.0651465798045602,2009-01-21,YUANTA_ETF_NAV_HISTORY,0.0041401273885348,-0.0345988977342313,-0.0343032159264935,0.04750830564784,-0.0255887261264602,-0.0327874719442927,39.34640522875818,-0.8466558633636061,-0.1432065217391307,0.3784083852299648,-0.9042176545323564,0.0047801147227533,0.0634316523945448,-0.0353138246957472,0.089069541397897,0.0,0.0,0.0095238095238094,14,0.6451612903225806,0.9510565162951536,0.3090169943749474,2009-01,15,4.499959854934381,2009-01-21,0.0075657894736842,False,False,4.499959854934381,4.66722809954214,-0.0364968651447935,0.5119052250809569,-0.0215066516227923,4.590762951564631,31.013430836395735,2008-12,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,False,technical_calendar
2009-02-27,32.8,33.05,32.65,33.05,11184488,367402187,0.25,2071,0.0,1.0,1.007621951219512,109.7618971330276,4.892226092288857,0.1480249952281046,4.855219843481831,4.892226092288857,4.833016094197616,8.2,8.2625,8.1625,8.2625,32.92,33.05,41559034357.0,1262500000.0,21398,15605,0.0,0.0,0.0,0.0,33.05,0.0,False,0.0605143721633888,2009-03-02,YUANTA_ETF_NAV_HISTORY,0.0018326206475256,-0.0036452004860269,0.0684039087947876,0.0718954248366001,0.0161877468825031,0.015165583410708,54.77707006369413,0.706772736438364,-0.0528443546058337,0.2475863476996665,1.0213519912167348,0.00336494340777,0.0609756097560975,-0.0161657559198542,-0.0112547152309689,0.0,0.0,0.0392237819983485,20,0.9642857142857144,-0.9510565162951536,0.3090169943749472,2009-02,20,4.496999355029819,2009-02-02,0.0796576695194204,False,False,4.855219843481831,4.855219843481831,0.0,0.2211239598164266,-0.001467188604942,4.872342051191616,32.915671057333256,2009-01,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,True,technical_calendar
2009-03-31,36.78,37.24,36.61,36.64,16999866,626537864,0.35,2757,0.0,1.0,1.0096445301736017,121.68459639800706,5.423635825157755,0.1480249952281046,5.44435932448969,5.5124508222946185,5.419195075300912,9.195,9.31,9.1525,9.16,36.79,36.64,51224295165.0,1392500000.0,13200,8030,0.0,0.0,0.0,0.0,36.64,0.0,False,0.0545851528384279,2009-04-01,YUANTA_ETF_NAV_HISTORY,-0.0391845379931163,-0.0076565490839484,0.136548700281867,0.1401193842287149,0.0294451378645186,0.0897625184554944,66.8667466986796,0.5844891092415743,-0.04750656167979,0.2726602588290713,0.8467258590547546,-0.0127856365614797,0.0551116009920088,-0.0311602828933548,-0.3565254237288136,0.0,0.0,-0.0309565217391304,22,1.0,0.9510565162951536,0.3090169943749474,2009-03,22,4.664267599637577,2009-03-04,0.1672484925420505,False,False,5.44435932448969,5.371827076827919,0.0134119979511959,0.3426966824131861,-0.0020204989433717,5.387789184848008,36.39783386951301,2009-02,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,True,technical_calendar
2009-04-30,42.15,42.15,42.15,42.15,37282829,1571471228,2.75,2829,0.0,1.0,1.0697969543147208,139.9837810637554,6.239253548864613,0.1480249952281047,6.239253548864613,6.239253548864613,6.239253548864613,10.5375,10.5375,10.5375,10.5375,42.04,42.15,52399791929.0,1246500000.0,10318,7595,0.0,0.0,0.0,0.0,42.15,0.0,False,0.0474495848161328,2009-05-04,YUANTA_ETF_NAV_HISTORY,0.0089628681177977,-0.0307503075030748,0.0565835344596408,0.2432944146418429,-0.0079190220196653,0.0948245918721781,50.882352941176485,-0.3545578973631367,-0.0436893203883496,0.2893302854868288,-1.0922308022596194,0.000253871541,0.0507614213197969,0.0701382581491574,-0.054828352679674,0.0,0.0,0.0004016064257028,22,1.0,-0.587785252292473,-0.8090169943749475,2009-04,22,5.490247073010404,2009-04-01,0.1364249123753032,False,False,6.239253548864613,5.832184811987325,0.0674688681439762,0.2719057528844627,-0.0022916343886373,5.847929053531933,39.50636204730388,2009-03,technical_calendar,71b2c2126ea942b716c673a87e9a9f022cacdfda25e55f1073d19b0bbf396612,True,technical_calendar
