feature,oracle_mean_percentile,distance_from_median,months
dividend_yield_ttm,0.8550409382822898,0.3550409382822898,276
ma_gap_60,0.15333112982856562,-0.3466688701714344,273
drawdown_60,0.16833677949475262,-0.3316632205052474,273
ma_gap_20,0.19311767346038444,-0.30688232653961556,275
bollinger_z_20,0.2265295306729245,-0.2734704693270755,275
rsi_14,0.23958937246797166,-0.26041062753202837,275
ret_20,0.2578926259845385,-0.2421073740154615,275
ret_60,0.2668768888451665,-0.23312311115483347,273
ret_5,0.2972300252655617,-0.2027699747344383,275
ret_1,0.32413682593126786,-0.17586317406873214,275
margin_change_5,0.6600945481366192,0.16009454813661916,275
volume_z_20,0.6112230567340394,0.11122305673403943,275
institutional_net_ratio,0.39238441941818325,-0.10761558058181675,276
premium_discount,0.6020966821072672,0.10209668210726719,275
fund_flow_5,0.6000009692717049,0.10000096927170488,274
month_progress,0.4104113091386636,-0.08958869086133642,276
trading_day,0.4104113091386636,-0.08958869086133642,276
volatility_20,0.56214060660165,0.062140606601649995,275
weekday_cos,0.5416097608169785,0.041609760816978536,276
weekday_sin,0.534950860441529,0.03495086044152895,276
short_change_5,0.531863960910102,0.03186396091010202,269
institutional_data_available,0.5249909213208519,0.0249909213208519,276
