date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source,ret_1,ret_5,ret_20,ret_60,ma_gap_20,ma_gap_60,rsi_14,bollinger_z_20,drawdown_60,volatility_20,volume_z_20,premium_discount,dividend_yield_ttm,margin_change_5,short_change_5,institutional_net_ratio,institutional_data_available,fund_flow_5,trading_day,month_progress,weekday_sin,weekday_cos,month,days_in_month,oracle_adjusted_open,oracle_date,regret,is_oracle,near_optimal,remaining_min_adjusted_open,previous_adjusted_close,remaining_min_log_ratio,near_probability,predicted_remaining_log_ratio,reservation_adjusted,reservation_raw,training_through,feature_set,analysis_signature
2008-07-15,51.55,51.55,49.6,49.9,23245898,1171278467,-2.3,5776,0.0,1.0,0.9559386973180076,156.0703525295039,6.956252313607387,0.1394038539801079,7.186268672674565,7.186268672674565,6.914431157413355,12.8875,12.8875,12.4,12.475,49.73,49.9,51842778812.0,1042500000.0,32071,3085,0.0,0.0,0.0,0.0,49.9,0.0,False,0.0501002004008016,2008-07-16,YUANTA_ETF_NAV_HISTORY,-0.013232514177693666,-0.025210084033613467,-0.11675126903553279,-0.18944099378882018,-0.0537478473669899,-0.13287836210357296,28.03738317757005,-1.1502512868430887,-0.20487433358720475,0.24273654656601415,-0.49774317197023565,0.002689204763734132,0.0478927203065134,0.09806653893049999,0.10922946655376808,0.0,0.0,0.04064224786753634,11,0.4838709677419355,0.9510565162951535,0.30901699437494745,2008-07,22,6.99807346980142,2008-07-16,0.02689243027888444,False,False,6.99807346980142,7.276881177761636,-0.03906746819090951,0.8342529176171243,-0.02391137870589184,7.14046945058667,51.221463730877716,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-16,50.2,50.3,49.41,49.5,11449182,570457210,-0.4,3329,0.0,1.0,0.9919839679358716,154.8192875793676,6.900490772015344,0.1394038539801079,6.99807346980142,7.01201385519943,6.887944425157134,12.55,12.575,12.3525,12.375,49.44,49.5,51733843293.0,1046500000.0,33841,3196,0.0,0.0,0.0,0.0,49.5,0.0,False,0.0505050505050505,2008-07-17,YUANTA_ETF_NAV_HISTORY,-0.0440613026819926,-0.03481624758220536,-0.16134453781512603,-0.22755417956656365,-0.08750114290939037,-0.16769754673709092,19.354838709677367,-1.8268515856612242,-0.23990860624524002,0.2709284345917825,1.2683137766420716,0.0034184596822843805,0.0501002004008016,0.07003202989456825,0.1425925925925926,0.0,0.0,0.03268945022288272,12,0.5161290322580645,0.5877852522924732,-0.8090169943749473,2008-07,22,6.99807346980142,2008-07-16,0.0,True,True,6.99807346980142,6.956252313607387,0.0059940239402106466,0.9149442818874259,-0.02391137870589184,6.82585106483285,48.96457931361681,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-17,50.8,52.2,50.75,52.2,18446550,952386424,2.7,4049,0.0,1.0,1.054545454545455,163.2639759927877,7.276881177761636,0.1394038539801079,7.081715782189484,7.276881177761636,7.074745589490479,12.7,13.05,12.6875,13.05,51.93,52.2,54394204256.0,1047500000.0,33522,3602,0.0,0.0,0.0,0.0,52.2,0.0,False,0.0478927203065134,2008-07-18,YUANTA_ETF_NAV_HISTORY,-0.008016032064128265,-0.03790087463556879,-0.16946308724832226,-0.2313664596273295,-0.08637873754152825,-0.17093527991402302,19.433198380566722,-1.8024212969367244,-0.24600152322924607,0.2683517480007608,-0.7261574360445024,0.0012135922330096527,0.0505050505050505,0.11509819427968893,0.15379061371841152,0.0,0.0,0.02347188264058686,13,0.5483870967741935,-0.587785252292473,-0.8090169943749475,2008-07,22,6.99807346980142,2008-07-16,0.01195219123505975,False,False,7.081715782189484,6.900490772015344,0.025923685009791538,0.846288191406306,-0.02391137870589184,6.7711348238321865,48.57207767583231,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-18,52.55,52.6,50.8,51.0,15646610,811151376,-1.2,3484,0.0,1.0,0.9770114942528736,159.51078114237876,7.109596552985506,0.1394038539801079,7.325672526654673,7.332642719353679,7.081715782189484,13.1375,13.15,12.7,12.75,50.95,51.0,53628450147.0,1052500000.0,33779,3554,0.0,0.0,0.0,0.0,51.0,0.0,False,0.0490196078431372,2008-07-21,YUANTA_ETF_NAV_HISTORY,0.0545454545454549,0.009671179883945946,-0.106928999144568,-0.18117647058823527,-0.030955585464333857,-0.12288562787050528,38.49056603773586,-0.68484282857753,-0.20487433358720475,0.3439492861738759,0.4540246701951837,0.005199306759098743,0.0478927203065134,0.11069878400318078,0.22683923705722076,0.0,0.0,0.02294921875,14,0.5806451612903226,-0.9510565162951536,0.30901699437494723,2008-07,22,6.99807346980142,2008-07-16,0.04681274900398402,False,False,7.276881177761636,7.276881177761636,0.0,0.3356635138355248,-0.022163531911675773,7.152960810536739,51.311069287635505,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-21,52.6,53.75,52.6,53.75,15920132,845063128,2.75,3448,0.0,1.0,1.053921568627451,168.11185267456585,7.4929571514308035,0.1394038539801079,7.332642719353679,7.492957151430803,7.332642719353679,13.15,13.4375,13.15,13.4375,53.18,53.75,56027397388.0,1053500000.0,33478,3278,0.0,0.0,0.0,0.0,53.75,0.0,False,0.0465116279069767,2008-07-22,YUANTA_ETF_NAV_HISTORY,-0.02298850574712652,-0.03591682419659736,-0.10839160839160833,-0.1962174940898347,-0.047752415628063316,-0.14005086627228913,35.915492957746466,-1.072318207400927,-0.2231530845392231,0.34493087481682233,0.0045672122754516434,0.0009813542688910104,0.0490196078431372,0.1173629717839304,0.34163835409588517,0.0,0.0,0.02184466019417486,15,0.6774193548387096,0.0,1.0,2008-07,22,6.99807346980142,2008-07-16,0.047808764940239,False,False,7.276881177761636,7.109596552985506,0.023256862164267398,0.7709583657518102,-0.011460255460409671,7.063726779311214,50.670957635928524,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-22,53.2,53.2,52.35,52.9,19577274,1032698201,-0.85,2951,0.0,1.0,0.984186046511628,165.4533396555262,7.374463875547712,0.139403853980108,7.4162850317417455,7.4162850317417455,7.297791755858653,13.3,13.3,13.0875,13.225,52.73,52.9,56662483882.0,1074500000.0,35955,2522,0.0,0.0,0.0,0.0,52.9,0.0,False,0.0472589792060491,2008-07-23,YUANTA_ETF_NAV_HISTORY,0.05392156862745101,0.02969348659003823,-0.06277244986922392,-0.15354330708661434,0.006978595850311464,-0.0911908921828325,46.58753709198813,0.1676191085538368,-0.1812642802741813,0.40119581883361005,-1.4487975870929023e-05,0.010718315156073688,0.0465116279069767,0.06211928934010147,0.251145038167939,0.0,0.0,0.015911282545805205,16,0.7096774193548387,0.9510565162951535,0.30901699437494745,2008-07,22,6.99807346980142,2008-07-16,0.059760956175298974,False,False,7.276881177761636,7.4929571514308035,-0.029261172119179148,0.22227392761499065,-0.009880444030281554,7.456384388952964,53.48764884231207,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-23,53.7,54.65,53.45,54.3,31437946,1702725115,1.4,4449,0.0,1.0,1.0264650283553876,169.8320669810033,7.5696292711198625,0.1394038539801079,7.485986958731797,7.6184206200129,7.451135995236771,13.425,13.6625,13.3625,13.575,54.25,54.3,58837750941.0,1084500000.0,33773,2236,0.0,0.0,0.0,0.0,54.3,0.0,False,0.0460405156537753,2008-07-24,YUANTA_ETF_NAV_HISTORY,-0.015813953488372112,0.060120240480961984,-0.07029876977152894,-0.175370226032736,-0.005218372431949669,-0.10271813645808303,45.906432748537995,-0.13398421619498066,-0.19421172886519422,0.403369701800692,0.5669448454331701,0.003223971173904827,0.0472589792060491,0.12110629540706563,-0.18249594813614267,0.0,0.0,0.03069544364508392,17,0.7419354838709677,0.5877852522924732,-0.8090169943749473,2008-07,22,6.99807346980142,2008-07-16,0.06972111553784854,False,False,7.276881177761636,7.374463875547712,-0.013320843975660678,0.37843050203622997,-0.008782737915431384,7.3465293787434,52.69961460170036,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-24,54.65,54.75,54.35,54.65,15913541,868315845,0.35,2738,0.0,1.0,1.0064456721915285,170.92674881237252,7.6184206200129,0.1394038539801079,7.6184206200129,7.632361005410911,7.576599463818868,13.6625,13.6875,13.5875,13.6625,54.82,54.65,59702316773.0,1089000000.0,33219,2638,0.0,0.0,0.0,0.0,54.65,0.0,False,0.0457456541628545,2008-07-25,YUANTA_ETF_NAV_HISTORY,0.026465028355387554,0.09696969696969737,-0.05565217391304311,-0.14488188976377958,0.0241901259018249,-0.07656987372985824,50.27173913043475,0.6962689751724014,-0.17288651942117272,0.4138872315638109,2.1875254354728155,0.0009216589861751334,0.0460405156537753,-0.0020093968854347777,-0.3003754693366708,0.0,0.0,0.03631151457238424,18,0.7741935483870968,-0.587785252292473,-0.8090169943749475,2008-07,22,6.99807346980142,2008-07-16,0.08864541832669315,False,False,7.276881177761636,7.5696292711198625,-0.03944173205129673,0.1010767073928348,-0.005758600178132687,7.563794892476849,54.25814765175831,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-25,53.5,53.9,53.35,53.9,17544551,941370492,-0.75,2784,0.0,1.0,0.9862763037511436,168.58100203086696,7.513867729527819,0.1394038539801079,7.458106187935776,7.513867729527819,7.43719560983876,13.375,13.475,13.3375,13.475,53.68,53.9,58828971571.0,1096000000.0,31493,2692,0.0,0.0,0.0,0.0,53.9,0.0,False,0.0463821892393321,2008-07-29,YUANTA_ETF_NAV_HISTORY,0.006445672191528251,0.04693486590038298,-0.042068361086765926,-0.14475743348982806,0.03313011011862543,-0.0681747136889369,55.976676384839585,1.0668104467784987,-0.16755521706016763,0.41452766500307553,-0.23563765036492926,-0.0031010580080262917,0.0457456541628545,-0.009038840164667938,-0.2676290949472515,0.0,0.0,0.03961813842482109,19,0.8064516129032258,-0.9510565162951536,0.30901699437494723,2008-07,22,6.99807346980142,2008-07-16,0.06573705179282863,False,False,7.276881177761636,7.6184206200129,-0.04586671973395448,0.1636549501026197,-0.0028781728537251305,7.6345076384483805,54.76539866349591,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
2008-07-29,52.2,52.2,51.55,51.95,23085790,1197951386,-1.95,4243,0.0,1.0,0.9638218923933212,162.48206039895248,7.242030214266609,0.1394038539801079,7.276881177761636,7.276881177761636,7.186268672674565,13.05,13.05,12.8875,12.9875,51.86,51.95,57980899594.0,1118000000.0,32917,2622,0.0,0.0,0.0,0.0,51.95,0.0,False,0.0481231953801732,2008-07-30,YUANTA_ETF_NAV_HISTORY,-0.013723696248856387,0.056862745098039236,-0.024434389140271517,-0.16043613707165127,0.020253643763013196,-0.07826483497691394,51.03244837758109,0.6811557026579727,-0.178979436405179,0.40283430171528495,0.0948814882111667,0.004098360655737654,0.0463821892393321,-0.06767518280588536,-0.24254361283061343,0.0,0.0,0.0413301662707839,20,0.9354838709677419,0.9510565162951535,0.30901699437494745,2008-07,22,6.99807346980142,2008-07-16,0.03984063745019917,False,False,7.276881177761636,7.513867729527819,-0.032047983026358313,0.2881064849700158,0.00013639666008648704,7.5524671292172565,54.1768890427875,2008-06,all,0c8176dbe460617de3ee512bbcfae6ce17e4220c9cc72d6079e6a13f5aa65f8c
