date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source
2003-07-23,40.3,40.5,40.0,40.05,8148000,328372300,0.07,848,0.0,1.0,1.001750875437719,108.00970873786406,4.8141288471671215,0.12020296746984074,4.844179589034582,4.8682201825285505,4.8081186987936295,10.075,10.125,10.0,10.0125,40.21,40.05,3940804322.0,98000000.0,5641,973,0.0,0.0,0.0,0.0,40.05,0.0,False,0.0,2003-07-24,TWSE_STOCK_DAY_AVG
2003-07-24,40.2,41.23,40.2,41.23,10984000,448189430,1.18,1279,0.0,1.0,1.0294631710362048,111.1920172599784,4.955968348781533,0.12020296746984073,4.8321592922875976,4.955968348781533,4.8321592922875976,10.05,10.3075,10.05,10.3075,41.34,41.23,4051309678.0,98000000.0,4806,1157,0.0,0.0,0.0,0.0,41.23,0.0,False,0.0,2003-07-25,TWSE_STOCK_DAY_AVG
2003-07-25,41.0,41.34,40.85,41.23,8433000,346491330,0.0,931,0.0,1.0,1.0,111.1920172599784,4.955968348781533,0.12020296746984073,4.92832166626347,4.969190675203216,4.910291221142994,10.25,10.335,10.2125,10.3075,41.27,41.23,3837707329.0,93000000.0,4616,1156,0.0,0.0,0.0,0.0,41.23,0.0,False,0.0,2003-07-28,TWSE_STOCK_DAY_AVG
2003-07-28,41.9,41.94,41.57,41.58,6839000,285426040,0.35,966,0.0,1.0,1.0084889643463497,112.13592233009706,4.998039387395978,0.12020296746984074,5.036504336986327,5.04131245568512,4.9968373577212795,10.475,10.485,10.3925,10.395,41.65,41.58,3873219872.0,93000000.0,4290,1283,0.0,0.0,0.0,0.0,41.58,0.0,False,0.0,2003-07-29,TWSE_STOCK_DAY_AVG
2003-07-29,41.54,41.54,40.83,41.02,5680000,233010990,-0.56,864,0.0,1.0,0.9865319865319866,110.6256742179072,4.9307257256128665,0.12020296746984072,4.993231268697183,4.993231268697183,4.907887161793596,10.385,10.385,10.2075,10.255,40.85,41.02,3799210987.0,93000000.0,4034,1243,0.0,0.0,0.0,0.0,41.02,0.0,False,0.0,2003-07-30,TWSE_STOCK_DAY_AVG
2003-07-30,41.0,41.02,40.55,40.6,9300000,378924610,-0.42,869,0.0,1.0,0.9897610921501706,109.4929881337648,4.880240479275534,0.12020296746984073,4.92832166626347,4.930725725612867,4.874230330902042,10.25,10.255,10.1375,10.15,40.74,40.6,3788924874.0,93000000.0,3971,1081,0.0,0.0,0.0,0.0,40.6,0.0,False,0.0,2003-07-31,TWSE_STOCK_DAY_AVG
2003-07-31,40.66,41.0,40.44,40.87,5120000,208233880,0.27,965,0.0,1.0,1.0066502463054186,110.22114347357062,4.9126952804923905,0.12020296746984073,4.887452657323724,4.92832166626347,4.861008004480359,10.165,10.25,10.11,10.2175,40.91,40.87,3763827935.0,92000000.0,3779,1200,0.0,0.0,0.0,0.0,40.87,0.0,False,0.0,2003-08-01,TWSE_STOCK_DAY_AVG
2003-08-01,41.28,41.6,41.05,41.6,3703000,153340310,0.73,844,0.0,1.0,1.0178615121115733,112.18985976267525,5.000443446745373,0.12020296746984069,4.961978497155024,5.000443446745373,4.93433181463696,10.32,10.4,10.2625,10.4,41.6,41.6,3785891344.0,91000000.0,3382,1252,0.0,0.0,0.0,0.0,41.6,0.0,False,0.0,2003-08-04,TWSE_STOCK_DAY_AVG
2003-08-04,41.47,41.55,41.21,41.4,3708000,153495550,-0.2,344,0.0,1.0,0.9951923076923076,111.65048543689315,4.976402853251405,0.1202029674698407,4.984817060974294,4.994433298371881,4.953564289432135,10.3675,10.3875,10.3025,10.35,41.47,41.4,3773632358.0,91000000.0,3109,1249,0.0,0.0,0.0,0.0,41.4,0.0,False,0.0,2003-08-05,TWSE_STOCK_DAY_AVG
2003-08-05,41.5,41.61,40.5,40.5,4929000,200981630,-0.9,659,0.0,1.0,0.9782608695652174,109.22330097087374,4.868220182528549,0.12020296746984072,4.98842314999839,5.001645476420072,4.868220182528549,10.375,10.4025,10.125,10.125,40.47,40.5,3602216143.0,89000000.0,3281,1242,0.0,0.0,0.0,0.0,40.5,0.0,False,0.0,2003-08-06,TWSE_STOCK_DAY_AVG
2003-08-06,40.2,40.3,40.06,40.23,4646000,186678450,-0.27,663,0.0,1.0,0.9933333333333333,108.4951456310679,4.835765381311691,0.1202029674698407,4.832159292287597,4.84417958903458,4.815330876841819,10.05,10.075,10.015,10.0575,40.22,40.23,3660268414.0,91000000.0,3768,1151,0.0,0.0,0.0,0.0,40.23,0.0,False,0.0,2003-08-07,TWSE_STOCK_DAY_AVG
2003-08-07,40.35,40.77,39.97,40.7,5574000,224384730,0.47,736,0.0,1.0,1.0116828237633608,109.76267529665584,4.892260776022518,0.12020296746984072,4.850189737408073,4.900674983745406,4.804512609769533,10.0875,10.1925,9.9925,10.175,40.44,40.7,3639265147.0,90000000.0,3666,1139,0.0,0.0,0.0,0.0,40.7,0.0,False,0.0,2003-08-08,TWSE_STOCK_DAY_AVG
2003-08-08,40.7,40.7,40.18,40.18,4009000,162440190,-0.52,492,0.0,1.0,0.9872235872235872,108.36030204962239,4.829755232938199,0.12020296746984069,4.892260776022517,4.892260776022517,4.829755232938199,10.175,10.175,10.045,10.045,40.22,40.18,3579536851.0,89000000.0,3687,1243,0.0,0.0,0.0,0.0,40.18,0.0,False,0.0,2003-08-11,TWSE_STOCK_DAY_AVG
2003-08-11,39.9,40.18,39.68,40.1,2619000,104578500,-0.08,488,0.0,1.0,0.9980089596814335,108.14455231930955,4.820138995540612,0.12020296746984069,4.796098402046643,4.829755232938199,4.769653749203279,9.975,10.045,9.92,10.025,40.15,40.1,3573605926.0,89000000.0,3558,1220,0.0,0.0,0.0,0.0,40.1,0.0,False,0.0,2003-08-12,TWSE_STOCK_DAY_AVG
2003-08-12,40.34,40.65,40.34,40.55,4255000,172402720,0.45,429,0.0,1.0,1.011221945137157,109.35814455231925,4.874230330902039,0.12020296746984067,4.848987707733373,4.886250627649023,4.848987707733373,10.085,10.1625,10.085,10.1375,40.48,40.55,3602596996.0,89000000.0,3720,1200,0.0,0.0,0.0,0.0,40.55,0.0,False,0.0,2003-08-13,TWSE_STOCK_DAY_AVG
2003-08-13,41.0,42.45,41.0,42.45,12452000,521544240,1.9,1640,0.0,1.0,1.0468557336621456,114.48220064724914,5.102615969094738,0.1202029674698407,4.928321666263469,5.102615969094738,4.928321666263469,10.25,10.6125,10.25,10.6125,42.16,42.45,3794654948.0,90000000.0,3875,1340,0.0,0.0,0.0,0.0,42.45,0.0,False,0.0,2003-08-14,TWSE_STOCK_DAY_AVG
2003-08-14,42.29,42.55,42.0,42.3,11489000,486593840,-0.15,896,0.0,1.0,0.9964664310954062,114.07766990291255,5.08458552397426,0.12020296746984067,5.083383494299562,5.11463626584172,5.048524633733308,10.5725,10.6375,10.5,10.575,42.25,42.3,3802821503.0,90000000.0,3662,1365,0.0,0.0,0.0,0.0,42.3,0.0,False,0.0,2003-08-15,TWSE_STOCK_DAY_AVG
2003-08-15,42.66,43.5,42.66,42.72,8705000,374241770,0.42,695,0.0,1.0,1.0099290780141845,115.21035598705495,5.135070770311594,0.12020296746984069,5.1278585922634035,5.22882908493807,5.1278585922634035,10.665,10.875,10.665,10.68,42.75,42.72,3933247542.0,92000000.0,4420,1297,0.0,0.0,0.0,0.0,42.72,0.0,False,0.0,2003-08-18,TWSE_STOCK_DAY_AVG
2003-08-18,43.0,43.1,42.52,42.8,4295000,183577210,0.08,494,0.0,1.0,1.0018726591760299,115.42610571736778,5.14468700770918,0.12020296746984066,5.168727601203148,5.180747897950132,5.111030176817625,10.75,10.775,10.63,10.7,42.85,42.8,3899650910.0,91000000.0,4479,1279,0.0,0.0,0.0,0.0,42.8,0.0,False,0.0,2003-08-19,TWSE_STOCK_DAY_AVG
2003-08-19,43.5,43.6,42.8,43.0,6286000,271811720,0.2,704,0.0,1.0,1.0046728971962617,115.96548004314988,5.168727601203149,0.12020296746984067,5.228829084938069,5.240849381685053,5.14468700770918,10.875,10.9,10.7,10.75,42.81,43.0,3896111156.0,91000000.0,4058,1378,0.0,0.0,0.0,0.0,43.0,0.0,False,0.0,2003-08-20,TWSE_STOCK_DAY_AVG
2003-08-20,42.8,43.28,42.8,43.19,4201000,181073180,0.19,437,0.0,1.0,1.0044186046511627,116.47788565264285,5.191566165022419,0.12020296746984069,5.144687007709181,5.202384432094705,5.144687007709181,10.7,10.82,10.7,10.7975,43.21,43.19,3932023463.0,91000000.0,4067,1440,0.0,0.0,0.0,0.0,43.19,0.0,False,0.0,2003-08-21,TWSE_STOCK_DAY_AVG
2003-08-21,43.19,44.0,42.8,44.0,3518000,152951160,0.81,630,0.0,1.0,1.0187543412827045,118.66235167206034,5.28893056867299,0.12020296746984069,5.191566165022419,5.28893056867299,5.144687007709181,10.7975,11.0,10.7,11.0,43.89,44.0,3993880827.0,91000000.0,4318,1463,0.0,0.0,0.0,0.0,44.0,0.0,False,0.0,2003-08-22,TWSE_STOCK_DAY_AVG
2003-08-22,44.0,44.59,43.95,44.04,6243000,276105870,0.04,752,0.0,1.0,1.000909090909091,118.77022653721676,5.293738687371784,0.12020296746984069,5.28893056867299,5.359850319480197,5.282920420299498,11.0,11.1475,10.9875,11.01,44.25,44.04,4026879483.0,91000000.0,5437,1529,0.0,0.0,0.0,0.0,44.04,0.0,False,0.0,2003-08-25,TWSE_STOCK_DAY_AVG
2003-08-25,44.1,44.39,43.79,44.35,4937000,217636420,0.31,518,0.0,1.0,1.0070390554041782,119.60625674217901,5.331001607287434,0.12020296746984067,5.300950865419974,5.335809725986228,5.263687945504323,11.025,11.0975,10.9475,11.0875,44.58,44.35,4011999140.0,90000000.0,5132,1524,0.0,0.0,0.0,0.0,44.35,0.0,False,0.0,2003-08-26,TWSE_STOCK_DAY_AVG
